Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
"\mathbf{u}_\mathrm{t} = \frac {\mathbf{v}(t)}{v(t)} \ ,",Tangential velocity (N/A),Velocity Unit Vector,Directional Velocity Vector,Normalized Velocity Vector,Unit Velocity in the Time Domain,Time-Varying Speed Vector,Tangential Velocity Component,Instantaneous Velocity Direction,Time-Dependent Speed Indicator,Vectors of Temporal Velocity,Reduced Velocity Vector
"\begin{alignat}{3}\mathbf{a}  = \frac{\mathrm{d} \mathbf{v}}{\mathrm{d}t} \\            =  \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t} +v(t)\frac{d \mathbf{u}_\mathrm{t}}{dt} \\            = \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t}+ \frac{v^2}{r}\mathbf{u}_\mathrm{n}\ , \\\end{alignat}",Circular acceleration (N/A),Acceleration,Centrifugal acceleration,Tangential acceleration,Normal acceleration,Radial acceleration,Angular acceleration,Specific angular momentum,Euler's acceleration formula,Relative acceleration,Velocity-dependent acceleration
\mathbf{F_g} = m  \mathbf{g},Newton's second law (N/A),Weight Equation,Force Due to Gravity Equation,Gravitational Force Formula,Mass-Weight Relationship,Fg Formula,Gravitational Pull Equation,Newton's Law of Gravity (simplified),Ground Force Equation,Mass-G acceleration Relation,Weight-Mass Identity
\mathbf{s}(t) = \mathbf{s}_0 + \mathbf{v}_0 t+ \tfrac{1}{2} \mathbf{a}t^2 = \mathbf{s}_0 + \frac{\mathbf{v}_0+\mathbf{v}(t)}{2}t,Circular displacement (N/A),Equation of motion,Kinematic equation,Position-time equation,Velocity-time equation,Acceleration equation,Euler-Lagrange equation (related concept),Newton-Euler equation (related concept),Linear motion equation,Position-velocity-time equation,Galilean transformation equation
\mathbf{v}(t) = \mathbf{v}_0 + \mathbf{a} t,Circular velocity (N/A),Equation of Motion,Velocity-Time Equation,Constant Acceleration Formula,Linear Motion Equation,Kinematic Equation,Accelerated Motion Formula,Time-Dependent Velocity Equation,Rectilinear Motion Equation,Translational Equation,Dynamic Equation
a_c = \frac {v^2} {r}\;.,Centripetal acceleration (N/A),Centripetal Acceleration,Circular Velocity Formula,Orbital Speed Equation,Radial Acceleration,Rotational Kinematics,Angular Momentum Relationship,Planetary Motion Formula,Rutherford's Formula (in physics),Gravitational Acceleration Formula,Orbital Kinetic Energy
v = \omega r.,velocity (Q11465),Centripetal Acceleration,Angular Velocity Formula,Circular Motion Equation,Rotational Kinematics,Radial Speed Formula,Orbital Velocity Equation,Peripheral Speed Formula,Revolutions Per Second,Tangential Velocity Component,Rotational Kinetic Energy
\omega = \frac {v}{r}.,angular velocity (Q161635),Angular Velocity,Omega (ω),Angular Frequency,Rotational Speed,Rotation Rate,Spin Frequency,Rotational Velocity,Cyclic Frequency,Gyroscopic Constant,Larmor Frequency
{v^2}(t) = {v_0}^2 + 2\mathbf{a \cdot}[\mathbf{s}(t)-\mathbf{s}_0],velocity (Q11465),Equation of motion,Kinematic equation,Velocity difference equation,Position-time relation,Acceleration equation,"Relativistic energy-momentum equation (not applicable here, but a related concept)",Momentum transfer equation,Trajectory equation,Relative velocity equation,Coordinate transformation
\mathbf{s}_0,displacement (Q190291),State vector,Initial state vector,Reference trajectory,State space representation,System state equation,Initial condition vector,Reference signal,System initial conditions,Control system state,Trajectory parameterization
\mathbf{s}(t),displacement (Q190291),state vector,system state function,position function,phase space trajectory,dynamical state map,time-dependent variable,system dynamics equation,spatial coordinate representation,trajectory evolution function,generalized coordinate
\mathbf{v}_0,velocity (Q11465),InitialVelocity,ReferenceFrameVector,PositionVector,InitialDisplacement,InitialStateVector,OriginVector,FrameOfReference,InitialConditionsVector,CoordinateVector,StartingPointVector
\mathbf{v}(t),velocity (Q11465),Velocity function,Position vector function,Time-dependent velocity,Generalized velocity,Vector field,Motion vector,Displacement function,Position-time curve,Dynamical velocity,Parametrized motion
\mathbf{a},acceleration (Q11376),Vectors,Vector,Position vector,Displacement vector,Velocity vector,Acceleration vector,Force vector,Momentum vector,Kinematic vector,Cartesian vector
\omega,angular velocity (Q161635),Angular Frequency,Spin Frequency,Dilation Factor,Conformal Weight,Omega Function (in number theory),Spectral Radius,Rotational Velocity,Time-Delay Factor,Hyperbolic Angle,Geodesic Distance
\mathbf{r},distance (Q126017),Position vector,Displacement vector,Reference frame vector,Unit vector,Radial vector,Position vector r,Coordinate vector,Euclidean vector,Vector position,Spatial vector
\mathbf {a_c}= -\frac{v^2}{|\mathbf {r}|}\cdot \frac{\mathbf {r}}{|\mathbf {r}|}\;.,acceleration (Q11376),Velocity Vector,Centrifugal Acceleration,Radial Acceleration,Frenet-Serret Frame,Rotational Acceleration,Acceleration Radial,Tangential Acceleration,Normalized Acceleration,Directional Acceleration,Angular Acceleration
\mathbf {a_c}= -\omega^2  \mathbf {r}\;.,acceleration (N/A),damped oscillator,simple pendulum equation,harmonic motion formula,angular frequency relation,SHO (Simple Harmonic Oscillator) equations,linear oscillations,rotational equation,Mathieu's equation,planar oscillation dynamics,Lagrange's equation
\alpha,acceleration (Q11376),Fine-structure constant,Alpha particle,Dirac's alpha parameter,Angular momentum coupling coefficient,Spectral line splitting factor,Atomic energy level correction term,Quantum Hall conductivity ratio,Nuclear weak interaction strength,BCS (Bardeen-Cooper-Schrieffer) coherence length,Bohr radius scaling factor
\alpha = \dot\omega,acceleration (Q11376),Euler's Equation,Lagrange Multiplier,Navier-Stokes Equations,Poisson's Ratio,Dirac Delta Function,Heisenberg Uncertainty Principle,Einstein Field Equations,Taylor Series Expansion,Fourier Transform,Hamiltonian Operator
a_t = r \alpha.,acceleration (Q11376),Lorentz Force,Maxwell's Equation,Ampere's Law,Coulomb's Law,Torque,Moment of Inertia,Angular Momentum,Planck's Constant,Biot-Savart Law,Gauss's Law
"\boldsymbol{F} = m\boldsymbol{a}\ ,",newton's law of motion (N/A),Newton's Second Law,Force Equation,Mass-Acceleration Relation,Linear Momentum Equation,Acceleration Formula,Momentum-Mass Relationship,Inertial Force Law,Kinetic Dynamics Formula,"FMA Equation (Force, Mass, Acceleration)",Newtonian Dynamics Formula
"\boldsymbol{a}=\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} \ ,",acceleration (Q11376),Acceleration,Second Derivative of Position Vector,a_ij,jacobian matrix acceleration,d2r_dt2,vector acceleration,velocity gradient,material derivative,Eulerian acceleration,spatial acceleration
\boldsymbol{a} =\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} = \frac{\operatorname{d}}{\operatorname{d}t}\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} = \frac{\operatorname{d}}{\operatorname{d}t} \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\= \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} \\=  \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\ = \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} + 2 \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] + \boldsymbol{\omega}\times ( \boldsymbol{\omega} \times \boldsymbol{r}) \ .,acceleration (Q11376),Acceleration,Angular acceleration,Rotational acceleration,Radians per second squared,Centripetal acceleration,Tangential acceleration,Total acceleration,Instantaneous angular velocity acceleration,Vectors of motion acceleration,Coriolis acceleration
\boldsymbol{F} - m\frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} - 2m \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] - m\boldsymbol{\omega}\times (\boldsymbol{\omega}\times \boldsymbol{r}),force (Q11402),Lense-Thirring torque,Gravitomagnetic field torque,PPN γ term,Frame-dragging torque,Rotational energy-momentum tensor,Geometric precession torque,Spacetime drag torque,Angular momentum drift torque,Spin-torque effect,Einstein's frame-dragging formula
I = \frac{L}{\omega}.,moment of inertia (Q165618),Moment of Inertia,Reduced Mass,Angular Momentum,Orbital Period,Rotational Kinetic Energy,Inertial Mass,Effective Moment of Inertia,Rotating Frame Moment,Angular Velocity Ratio,Gyroscopic Moment
\tau = I \alpha.,torque (Q48103),Euler's Torsion,Moment of Inertia Tensor,Torque-Energy Relation,Angular Momentum Density,Rotational Kinetic Energy,Polar Torsional Constant,Angular Velocity Coupling,Rotational Inertia Tensor,Torsional Rigidity Formula,Mechanical Anisotropy Coefficient
I = mr^2.,moment of inertia (Q165618),Newton's Law of Universal Gravitation,Gravity Constant,Gravitational Force Equation,Mass-Radial Distance Equation,Central Force Potential Energy,Inverse Square Law,Kepler's Law of Orbital Motion,Rutherford's Nuclear Force Formula,Coulomb's Law for Charges,Biot-Savart Law
I=r^2m,moment of inertia (Q165618),Ohm's Law,Coulomb's Constant,Impedance,Resistance,Power Formula,Energy Efficiency,Electric Potential,Electrical Conductivity,Joule's Law,Magnetic Moment
"p = mv,",momentum (Q41273),Momentum,Newton's Second Law,Force-Momentum Equation,Kinetic Energy Equation,Momentum-velocity Relation,Linear Momentum,Mass-Velocity Relationship,Dynamic Momentum Formula,Inertial Momentum,Translational Momentum
L = I\omega.,angular momentum (Q161254),Mechanical Advantage,Torque Equation,Moment of Inertia,Angular Momentum,Work-Energy Theorem,Rotational Kinematics Formula,Torque-Force Relationship,Angular Velocity Formula,Impulse-Momentum Principle,Rotor Dynamics Formula
"L = rmv,",angular momentum (Q161254),Lenz vector,Lorentz vector,Relativistic momentum,Linear momentum,Mechanical momentum,Kinetic momentum,Momentum operator,Four-momentum,Quadratic momentum,Riemann momentum
"L = rmv_\perp,",angular momentum (Q161254),Lorentz,Relativistic Mass,Momentum,Velocity Component,Linear Momentum,Kinetic Energy,Invariant Mass,Four-Momentum,Proper Mass,Covariant Momentum
"L = r_\perp mv,",angular momentum (Q161254),Momentum,Linear Momentum,Perpendicular Momentum,Relativistic Momentum,Transverse Momentum,Lateral Momentum,Force-Momentum Relation,Kinetic Momentum Equation,Orthogonal Momentum Formula,Translational Momentum
T = \frac{1}{2}ma^2 \omega^2 = \frac{1}{2}ma^2 \dot{\phi}^2.,kinetic energy (Q46276),Kinetic Energy,Rotational Kinetic Energy,Moment of Inertia,Angular Momentum,Translational Kinetic Energy,Centripetal Force,Angular Velocity,Radial Acceleration,Planar Polar Momentum,Spherical Kinetic Potential
U = 0.,potential energy (N/A),Zero Vector,Origin Point,Null Vector,Identity Matrix,Zero Element,Reference Frame,Coordinate Origin,Neutral Element,Absolute Zero,Fundamental Point
"\mathcal{L}\left(\phi, \dot{\phi}\right) = T - U = \frac{1}{2}ma^2 \dot{\phi}^2.",lagrangian (N/A),Lagrangian,Hamilton's Principle,Action (Physics),Energy-Lagrange Form,Classical Lagrangian,Dynamical Lagrangian,Euler-Lagrange Equation,Kinetic Potential Energy,Relativistic Action Integral,Noether's Theorem
p_\phi = \frac{\partial \mathcal{L}}{\partial \dot{\phi}} = ma^2 \dot{\phi} = I\omega = L.,momentum (Q41273),Conservation of Angular Momentum,Angular Momentum Operator,Rotational Inertia,Moment of Inertia Tensor,Planetary Angular Momentum,Gyroscopic Effect Formula,Spin Angular Momentum,Torque-Momentum Relation,Lagrangian Formulation of Rotation,König’s Constant
"\mathbf{L} = I\boldsymbol{\omega},",angular momentum (N/A),Angular Momentum,Moment of Inertia Vector,L Vector,Rotational Inertia Tensor,Body Rate Vector,Gyroscopic Coupling,Angular Velocity Vectors,Rotational Inertia Matrix,Kinetic Momentum Vector,Rotor Angular Impulse
\boldsymbol{\omega}=\frac{\mathbf{r}\times\mathbf{v}}{r^2},angular velocity (Q161635),Angular Velocity,Cross Product,Pseudovector,Moment Arm,Kinematic Quantity,Vector Moment,Rotational Velocity,Wigner D-Matrix Element,Torque Density,Gyroscopic Moment
"\mathbf{L} = \left(r^2m\right)\left(\frac{\mathbf{r}\times\mathbf{v}}{r^2}\right) \\             = m\left(\mathbf{r}\times\mathbf{v}\right) \\             = \mathbf{r}\times m\mathbf{v} \\             = \mathbf{r}\times\mathbf{p},",angular momentum (Q161254),Angular Momentum,L,L Vector,Linear Momentum Cross Product,R Cross P,L Vector Formula,Momentum Cross Product,L Identity,Rotational Momentum,r x p
"\omega\mathbf{\hat{u}} = \boldsymbol{\omega},",angular velocity (Q161635),Angular Momentum Vector,Angular Velocity Vectors,Omega Vector Notation,Rotational Vector Equation,Spinor Representation,Wigner D-Matrix Formula,Rotor Algebra Formulation,Quaternions Application,Dirac Electron Spinors,Geometric Phase Factor
"\omega = \frac{v_\perp}{r},",angular velocity (Q161635),Centrifugal Frequency,Angular Velocity Ratio,Rotational Velocity Fraction,Perpendicular Velocity Ratio,Orbital Velocity Factor,Radius Inverse Proportionality,Vortex Frequency Parameter,Torqueless Rotation Constant,Planetary Orbit Indicator,Kinematic Duality Coefficient
"\mathbf{L} = I\boldsymbol{\omega}\\             = I\omega\mathbf{\hat{u}}\\             = \left(r^2m\right)\omega\mathbf{\hat{u}}\\             = rmv_\perp \mathbf{\hat{u}}\\             = r_\perp mv\mathbf{\hat{u}},",angular momentum (Q161254),Angular Momentum,L (Angular Momentum Vector),Moment of Inertia Vector,Rotational Kinetic Energy,Linear Angular Momentum,Torque-Momentum Relation,Gyroscopic Effect Formula,Classical Angular Momentum,Rigid Body Rotation Equation,Orbital Angular Momentum
"\mathbf{L} =  m \mathbf{r} \times \mathbf{v} = m r^2 \left(\dot\theta\,\hat{\boldsymbol\varphi} - \dot\varphi \sin\theta\,\mathbf{\hat{\boldsymbol\theta}}\right).",angular momentum (Q161254),Lenz Vector,Angular Momentum,Precession Vector,Magnetic Moment,Gyroscopic Effect,Rotational Kinetic Energy,Spin Vector,Orbital Angular Momentum,Biot-Savart Law,Torque
"I=k^2m,",moment of inertia (Q165618),Newton's Law,Gravitational Constant,Kinetic Energy Equation,Momentum Formula,Einstein Field Equations,Schrodinger Equation,Hamiltonian Operator,Lagrangian Function,Rutherford Scattering,Bohr Radius Formula
"\mathbf{F} = m\mathbf{a},",Newton's second law (N/A),Newton's Second Law,Force Equation,Mass-Acceleration Relationship,FMA Formula,Inertial Force Law,Acceleration-Mass Theorem,Second Law of Motion,Newton's Acceleration Equation,Momentum-Force Balance,Kinetic Impulse Relation
\mathbf{L} = I\boldsymbol{\omega},angular momentum (Q161254),Angular Momentum,L,Moment of Inertia,Angular Velocity Vector,Linear Momentum,Torque,Rotational Kinematics Matrix,Omega Tensor,Angular Displacement Matrix,Rotor Momentum
\boldsymbol{\tau} = \frac{dI}{dt}\boldsymbol{\omega} + I\frac{d\boldsymbol{\omega}}{dt}.,torque (Q48103),Eulero-Angular Momentum Equation,Gyroscopic Momentum Equation,Euler's Angular Momentum Equation,Rotational Momentum Equation,Conservation of Angular Momentum,Rotational Kinetic Energy Equation,Euler-Tensorial Momentum Formula,Body-Fixed Frame Momentum Equation,Rotating Reference Frame Equation,Gauss-Euler Angular Momentum Law
\boldsymbol{\tau} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega}.,torque (Q48103),Angular Momentum,Larmor Precession Formula,Gyroscopic Moment,Torque Equation,Lorentz Precession Tensor,Spin-Orbit Interaction,Magnetic Moment Formula,Relativistic Precession,Rotational Kinematics Formula,Field-Tensor Coupling
v = r\omega,linear velocity (N/A),Angular Velocity,Rotational Speed,Circular Velocity,Orbital Speed,Centrifugal Speed,Velocity in Circular Motion,Rotational Kinematics Formula,Planetary Orbit Velocity,Radial Velocity Formula,Angular Momentum Relation
\omega = \frac{d\phi}{dt} = \frac{v_\perp}{r}.,radial velocity (N/A),Centrifugal Frequency,Angular Velocity,Rotational Frequency,Radial Frequency,Cyclotron Frequency,Larmor Frequency,Gyrofrequency,Vortex Frequency,Eulerian Frequency,Material Rotation Rate
\omega = \frac{v\sin(\theta)}{r}.,angular velocity (Q161635),Angular Velocity,Transverse Velocity,Rotational Speed,Radial Speed Component,Tangential Speed Component,Specific Angular Velocity,Centrifugal Speed,Relative Angular Velocity,Circumferential Speed,Polar Velocity Component
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},",Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Momentum Equation,Action-Reaction Principle,Acceleration Formula,Impulse-Momentum Theorem,D'Alembert's Principle,Euler-Lagrange Equation,Lagrangian Dynamics,Hamilton's Principle
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t} = \frac{\mathrm{d}\left(m\vec{v}\right)}{\mathrm{d}t},",Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Momentum Conservation,Linear Acceleration Formula,Mass-Scale Relationship,F = dp/dt Equation,Kinetic Energy Balance,Impulse-Momentum Theorem,Dynamical Equilibrium Principle,Velocity-Dependent Force Law
\vec{F} = m\frac{\mathrm{d}\vec{v}}{\mathrm{d}t}.,Newton's second law of motion (Q2397319),Newton's Second Law,"FMA (Force, Mass, Acceleration)",Equations of Motion,Linear Momentum Equation,Momentum Formula,Force-Mass-Acceleration Law,dv/dt formula,Momentum-Time Derivative Formula,Second Law of Newton,Mass- Acceleration Relationship
\vec{F} =m\vec{a}.,Newton's second law of motion (Q2397319),Newton's Second Law,FMA (Force-Mass-Acceleration),Acceleration-Force Equation,Mass-Acceleration Relation,Force-Equivalence Principle,Inertia-Law,Dynamics Formula,Momentum-Acceleration Rule,Kinetics Relationship,Action-Reaction Formula
"\vec{F}_{1,2}=-\vec{F}_{2,1}.",newton's third law of motion (N/A),Newton's Third Law,Action-Reaction Principle,Reaction Force Equation,Action-Force Relationship,Newton's Law of Reciprocal Actions,Force Interchange Theorem,Dual-Action Principle,Reciprocal Dynamics Law,Symmetric Force Principle,Inertial Transfer Rule
"\vec{F}_{1,2}+\vec{F}_{\mathrm{2,1}}=0.",newton's third law of motion (N/A),Newton's Third Law,Action-Reaction Principle,F12 + F21 = 0,Forces in Pairwise Interaction,Interchange Symmetry of Forces,Force Parity Relation,Newton's Law of Reciprocal Actions,Parity of Forces,Reciprocity of Forces,Commutativity of Forces
"\frac{\mathrm{d}\vec{p}_1}{\mathrm{d}t} + \frac{\mathrm{d}\vec{p}_2}{\mathrm{d}t}= \vec{F}_{1,2} + \vec{F}_{2,1} = 0.",newton's laws of motion (N/A),Newton's Third Law,Action-Reaction Principle,Conservation of Momentum,Impulse-Momentum Theorem,Symmetry Law,Reaction-Rule,Momentum Balance Equation,External Force Equilibrium Condition,Newton's Law of Reciprocal Actions,Euler-Lagrange Equation
\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Momentum Conservation Law,Rate of Change Formula,Impulse-Momentum Theorem,Acceleration-Force Relation,Kinetic Dynamics Equation,Power-Time Derivative Rule,Linear Momentum Update Rule,Force-Mass-Acceleration Relationship
"\vec{p} = \frac{m_0\vec{v}}{\sqrt{1 - v^2/c^2}},",Relativistic momentum (N/A),Lorentz Factor,Gamma Function,Velocity Addition Formula,Relativistic Momentum Equation,p-momentum Formula,Minkowski Factor,Special Relativity Formula,v-c Relation,Momentum Transformation Equation,Energy-Momentum Tensor
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}}.,Lorentz factor (Q599404),Lorentz Factor,Gamma Function,Relativity Factor,Velocity Addition Formula,Time Dilation Factor,SR Factor (Special Relativity),Proper Time Factor,Speed of Light Factor,Spacetime Interval Factor,Einstein's Gamma
"\vec{F} = \left(\gamma^3 m a_x, \gamma m a_y, \gamma m a_z\right),",relativistic force (N/A),Lorentz Force,Four-Force Equation,Electromagnetic Force Law,Special Relativity Formula,Gamma Factor Acceleration,Relativistic Momentum Equation,Force Vector in SR,Accelerated Charge Formula,Maxwell-Lorentz Equations,Covariant Lorentz Law
F = m a,Newton's second law of motion (Q2397319),Newton's Second Law,Force Equation,Mass-Acceleration Relation,FMA Formula,Acceleration-Mass Relationship,Momentum Conservation Law,Inertial Mass Formula,Newton's II Law,Kinetic Momentum Equation,Momentum-Force Relationship
"F^\mu = mA^\mu \,",relativistic force (N/A),Four-Momentum,Relativistic Momentum,Moller Force,Mass-Energy Equation,Energy-Momentum Relation,Covariant Momentum,Lorentzian Momentum,Invariant Momentum,Special Relativity Formula,Dirac-Einstein Momentum
\vec{F} = m\vec{g},gravitational force (Q11412),Newton's Second Law,Force Equation,Acceleration Due to Gravity,Weight Formula,Gravitational Force,Mass-Gravity Relationship,Universal Law of Gravitation,Force Calculation Formula,Gravitational Pull Equation,Inertial Force
\vec{g}=-\frac{Gm_\oplus}{{R_\oplus}^2} \hat{r},gravitational acceleration (Q30006),Gravitational Acceleration,Surface Gravity,Planetary Gravitation Formula,Earth's Surface Gravity Vector,Gravitational Field Strength,Radau Normal Gravity,Newtonian Gravitational Acceleration,Centripetal Acceleration due to Gravity,Orbital Velocity Gradient,Gravitomagnetic Acceleration
\vec{F}=-\frac{Gm_{1}m_{2}}{r^2} \hat{r},gravitational force (Q11412),Newton's Law of Universal Gravitation,Gravitational Force Formula,"Coulomb's Constant Formula (Note: This is a bit of an incorrect assumption, but it's a popular misconception that the formula involves Coulomb's constant)",Law of Gravity,Universal Gravitation Formula,Newton's Gravitational Force Formula,Gravitational Attraction Formula,"Kepler's Third Law Formula (Note: This is not directly related to the formula, but it's another classic physics concept)",Mass-Radius Inverse Square Law,Gauss's Law of Gravity
\vec{F} = q(\vec{E} + \vec{v} \times \vec{B}),electromagnetic force (Q849919),Lorentz Force,Maxwell's Equation,Electromagnetic Force Law,Quantum Field Equation,Charge Acceleration Formula,Vector Potential Equation,Magnetic Field Interaction Law,Electric and Magnetic Fields Interplay,Special Relativity Electromagnetic Law,Quantum Mechanics Lorentz Transformation
B = {F \over{I \ell}},magnitude (Q2028919),Ohm's Law,Resistance Equation,Electric Resistance Formula,Resistivity Relation,Conductance Formula,R = V / I Formula,Electrical Impedance Law,Current-Resistivity Law,Voltage-Drop Formula,Specific Resistance Relation
0 \le F_{\mathrm{sf}} \le \mu_{\mathrm{sf}} F_\mathrm{N}.,friction (N/A),F_sf,mu_sfnorm,F_norm,mu_norm,F_max,safety_factor_F,sf_upper_bound,normalization_constant,limit_F_sf,upper_limit_mu_sfnorm
"F_{\mathrm{kf}} = \mu_{\mathrm{kf}} F_\mathrm{N},",friction (N/A),FrictionForce,KineticFrictionCoefficient,MuKF,NormalForce,StaticFrictionForce,F_kinematic_friction,ContactForce,FrictionalTorque,SlipperySurfaceForce,CoefficientOfKineticFriction
\mu_{\mathrm{kf}},coefficient (Q50700),mu_kappa,kappa_mu,mu_kf_prime,weighted_mean,arithmetic_mean,average_value,mean_kappa_force,kappa_force_mean,mean_weighted_kappa,force_kappa_average
\vec{F}=-k \Delta \vec{x},Hooke's law (Q170282),Hooke's Law,Force Law,Spring Force Equation,Hookian Force Law,Linear Elastic Force Law,Hooke's Spring Law,Simple Harmonic Motion Formula,Oscillatory Force Law,Force Displacement Relation,Harmonic Force Equation
\frac{\vec{F}}{V} = - \vec{\nabla} P,gradient (N/A),Maxwell's Stress Tensor,Force Density Equation,Pressure Gradient Vector,Stress Tensor Formula,Navier-Stokes Formula,Momentum Flux Equation,Cauchy Stress Tensor,Euler's Pressure Gradient,Continuity Equation,Hydrostatic Pressure Gradient
"\vec{F}_\mathrm{d} = - b \vec{v} \,",Stokes' law (Q824561),Drag Force,Drag Coefficient,D'Alembert's Force,Viscous Force,Newtonian Force,Resistive Force,Fluid Resistance,Aerodynamic Force,Frictional Force,Stokes' Force
\sigma = \frac{F}{A},stress (Q206175),Stress,Pressure,Intensity,ForceDensity,NormalStress,TensileStress,ShearStress,SurfaceTension,MomentumFlux,EnergyDensity
\vec{\tau} = I\vec{\alpha},torque (Q48103),Moment of inertia,Angular momentum tensor,Torsion moment tensor,Torque tensor,Inertia tensor,Rotational energy tensor,Spin-torque tensor,Moment of angular momentum,Angular momentum operator,Gyroscopic tensor
