Identifier / Formula,Name
\boldsymbol{a} =\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} = \frac{\operatorname{d}}{\operatorname{d}t}\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} = \frac{\operatorname{d}}{\operatorname{d}t} \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\= \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} \\=  \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\ = \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} + 2 \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] + \boldsymbol{\omega}\times ( \boldsymbol{\omega} \times \boldsymbol{r}) \ .,acceleration (Q11376)
\boldsymbol{F} - m\frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} - 2m \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] - m\boldsymbol{\omega}\times (\boldsymbol{\omega}\times \boldsymbol{r}),force (Q11402)
I = \frac{L}{\omega}.,moment of inertia (Q165618)
\tau = I \alpha.,torque (Q48103)
I = mr^2.,moment of inertia (Q165618)
I=r^2m,moment of inertia (Q165618)
"p = mv,",momentum (Q41273)
L = I\omega.,angular momentum (Q161254)
"L = rmv,",angular momentum (Q161254)
"L = rmv_\perp,",angular momentum (Q161254)
"L = r_\perp mv,",angular momentum (Q161254)
T = \frac{1}{2}ma^2 \omega^2 = \frac{1}{2}ma^2 \dot{\phi}^2.,kinetic energy (Q46276)
U = 0.,potential energy (N/A)
"\mathcal{L}\left(\phi, \dot{\phi}\right) = T - U = \frac{1}{2}ma^2 \dot{\phi}^2.",lagrangian (N/A)
p_\phi = \frac{\partial \mathcal{L}}{\partial \dot{\phi}} = ma^2 \dot{\phi} = I\omega = L.,momentum (Q41273)
"\mathbf{L} = I\boldsymbol{\omega},",angular momentum (N/A)
\boldsymbol{\omega}=\frac{\mathbf{r}\times\mathbf{v}}{r^2},angular velocity (Q161635)
"\mathbf{L} = \left(r^2m\right)\left(\frac{\mathbf{r}\times\mathbf{v}}{r^2}\right) \\             = m\left(\mathbf{r}\times\mathbf{v}\right) \\             = \mathbf{r}\times m\mathbf{v} \\             = \mathbf{r}\times\mathbf{p},",angular momentum (Q161254)
"\omega\mathbf{\hat{u}} = \boldsymbol{\omega},",angular velocity (Q161635)
"\omega = \frac{v_\perp}{r},",angular velocity (Q161635)
"\mathbf{L} = I\boldsymbol{\omega}\\             = I\omega\mathbf{\hat{u}}\\             = \left(r^2m\right)\omega\mathbf{\hat{u}}\\             = rmv_\perp \mathbf{\hat{u}}\\             = r_\perp mv\mathbf{\hat{u}},",angular momentum (Q161254)
"\mathbf{L} =  m \mathbf{r} \times \mathbf{v} = m r^2 \left(\dot\theta\,\hat{\boldsymbol\varphi} - \dot\varphi \sin\theta\,\mathbf{\hat{\boldsymbol\theta}}\right).",angular momentum (Q161254)
"I=k^2m,",moment of inertia (Q165618)
"\mathbf{F} = m\mathbf{a},",Newton's second law (N/A)
\mathbf{L} = I\boldsymbol{\omega},angular momentum (Q161254)
\boldsymbol{\tau} = \frac{dI}{dt}\boldsymbol{\omega} + I\frac{d\boldsymbol{\omega}}{dt}.,torque (Q48103)
\boldsymbol{\tau} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega}.,torque (Q48103)
v = r\omega,linear velocity (N/A)
\omega = \frac{d\phi}{dt} = \frac{v_\perp}{r}.,radial velocity (N/A)
\omega = \frac{v\sin(\theta)}{r}.,angular velocity (Q161635)
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},",Newton's second law of motion (Q2397319)
"\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t} = \frac{\mathrm{d}\left(m\vec{v}\right)}{\mathrm{d}t},",Newton's second law of motion (Q2397319)
\vec{F} = m\frac{\mathrm{d}\vec{v}}{\mathrm{d}t}.,Newton's second law of motion (Q2397319)
\vec{F} =m\vec{a}.,Newton's second law of motion (Q2397319)
"\vec{F}_{1,2}=-\vec{F}_{2,1}.",newton's third law of motion (N/A)
"\vec{F}_{1,2}+\vec{F}_{\mathrm{2,1}}=0.",newton's third law of motion (N/A)
"\frac{\mathrm{d}\vec{p}_1}{\mathrm{d}t} + \frac{\mathrm{d}\vec{p}_2}{\mathrm{d}t}= \vec{F}_{1,2} + \vec{F}_{2,1} = 0.",newton's laws of motion (N/A)
\vec{F} = \frac{\mathrm{d}\vec{p}}{\mathrm{d}t},Newton's second law of motion (Q2397319)
"\vec{p} = \frac{m_0\vec{v}}{\sqrt{1 - v^2/c^2}},",Relativistic momentum (N/A)
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}}.,Lorentz factor (Q599404)
"\vec{F} = \left(\gamma^3 m a_x, \gamma m a_y, \gamma m a_z\right),",relativistic force (N/A)
F = m a,Newton's second law of motion (Q2397319)
"F^\mu = mA^\mu \,",relativistic force (N/A)
\vec{F} = m\vec{g},gravitational force (Q11412)
\vec{g}=-\frac{Gm_\oplus}{{R_\oplus}^2} \hat{r},gravitational acceleration (Q30006)
\vec{F}=-\frac{Gm_{1}m_{2}}{r^2} \hat{r},gravitational force (Q11412)
\vec{F} = q(\vec{E} + \vec{v} \times \vec{B}),electromagnetic force (Q849919)
B = {F \over{I \ell}},magnitude (Q2028919)
0 \le F_{\mathrm{sf}} \le \mu_{\mathrm{sf}} F_\mathrm{N}.,friction (N/A)
"F_{\mathrm{kf}} = \mu_{\mathrm{kf}} F_\mathrm{N},",friction (N/A)
\mu_{\mathrm{kf}},coefficient (Q50700)
\vec{F}=-k \Delta \vec{x},Hooke's law (Q170282)
\frac{\vec{F}}{V} = - \vec{\nabla} P,gradient (N/A)
"\vec{F}_\mathrm{d} = - b \vec{v} \,",Stokes' law (Q824561)
\sigma = \frac{F}{A},stress (Q206175)
\vec{\tau} = I\vec{\alpha},torque (Q48103)
\vec{\tau} = \vec{r} \times \vec{F},torque (Q48103)
"\vec{\tau} = \frac{\mathrm{d}\vec{L}}{\mathrm{dt}},",torque (N/A)
\vec{F} = - \frac{mv^2 \hat{r}}{r},centripetal force (Q172881)
"W=\int_{\vec{x}_1}^{\vec{x}_2}{\vec{F} \cdot{\mathrm{d}\vec{x}}},",work (Q42213)
{\vec{v}\text{ }=\text{ d}\vec{x}/\text{d}t},velocity (Q11465)
\vec{F}=-\vec{\nabla} U.,gradient (N/A)
\vec{F}_g = - \frac{G m_1 m_2}{r^2} \hat{r},gravitational force (Q11412)
\vec{F}_e = \frac{q_1 q_2}{4 \pi \epsilon_{0} r^2} \hat{r},electrostatic force (Q103438301)
\vec{F}_s = - k r \hat{r},Hooke's law (Q170282)
\boldsymbol{F} = m\boldsymbol{a},equation of motion (N/A)
Ro = \frac{U}{fL}.,Rossby number (N/A)
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ \cos \varphi \\ \sin \varphi \end{pmatrix}\ ,",angular velocity (Q161635)
"\boldsymbol{ a}_C =-2\boldsymbol{\Omega \times v}= 2\,\omega\, \begin{pmatrix} v_n \sin \varphi-v_u \cos \varphi \\ -v_e \sin \varphi \\ v_e \cos\varphi\end{pmatrix}\ .",acceleration (Q11376)
"\boldsymbol{ v} = \begin{pmatrix} v_e \\ v_n\end{pmatrix}\ ,",velocity (Q11465)
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ 1 \\ 0 \end{pmatrix}\ ,",angular velocity (Q161635)
"R= \frac {v}{f}\,",radius (Q173817)
\omega = \frac{v_{\perp}}{r},angular velocity (Q161635)
v_{\perp},velocity (Q11465)
\alpha = \frac{d}{dt}(\frac{v_{\perp}}{r}),angular acceleration (Q186300)
\alpha = \frac{1}{r}\frac{dv_{\perp}}{dt} - \frac{v_{\perp}}{r^2}\frac{dr}{dt},angular acceleration (Q186300)
\frac{dv_{\perp}}{dt},tangential acceleration (N/A)
a_{\perp},perpendicular acceleration (N/A)
\frac{dr}{dt},acceleration (Q11376)
\alpha = \frac{a_{\perp}}{r},angular acceleration (Q186300)
\boldsymbol\omega,angular velocity (Q161635)
\boldsymbol\omega =\frac{\mathbf r\times\mathbf v}{r^2},angular velocity (Q161635)
\mathbf r,position (N/A)
\mathbf v,velocity (Q11465)
\boldsymbol\alpha,acceleration (Q11376)
\boldsymbol\alpha = \frac{d}{dt}(\frac{\mathbf r\times\mathbf v}{r^2}),acceleration (Q11376)
\boldsymbol\alpha = \frac{1}{r^2}(\mathbf r\times \frac{d\mathbf v}{dt} + \frac{d\mathbf r}{dt}\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\ = \frac{1}{r^2}(\mathbf r\times \mathbf a + \mathbf v\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\= \frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v).,Circular acceleration (N/A)
\mathbf r\times\mathbf v,angular acceleration (Q186300)
r^2\boldsymbol{\omega},angular acceleration (Q186300)
-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},term (Q1969448)
\boldsymbol\alpha = \frac{\mathbf r\times \mathbf a}{r^2},angular acceleration (Q186300)
\mathbf{a}_{\perp} =\boldsymbol{\alpha} \times\mathbf{r},acceleration (Q11376)
\boldsymbol{\tau}=\mathbf r\times \mathbf F,torque (Q48103)
\mathbf F,force (Q11402)
\mathbf F = m\mathbf a,force (Q11402)
\boldsymbol{\tau}=m(\mathbf r\times \mathbf a)=mr^2(\frac{\mathbf r\times \mathbf a}{r^2}),torque (Q48103)
\boldsymbol{\alpha}=\frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},acceleration (Q11376)
\boldsymbol{\alpha},acceleration (Q11376)
\boldsymbol{\omega},angular velocity (Q161635)
\boldsymbol{\tau} = mr^2(\boldsymbol{\alpha}+\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega})\\\\=mr^2\boldsymbol{\alpha}+2mr\frac{dr}{dt}\boldsymbol{\omega}.,torque (Q48103)
\boldsymbol{\tau} = mr^2\boldsymbol{\alpha},torque (Q48103)
mr^2,term (N/A)
\boldsymbol{\bar{v}} = \frac{\Delta\boldsymbol{x}}{\Delta\mathit{t}} .,velocity (Q11465)
"\boldsymbol{\bar{v}} = {1 \over t_1 - t_0 } \int_{t_0}^{t_1} \boldsymbol{v}(t) \ dt ,",velocity (Q11465)
\boldsymbol{v} = \lim_{{\Delta t}\to 0} \frac{\Delta \boldsymbol{x}}{\Delta t} = \frac{d\boldsymbol{x}}{d\mathit{t}} .,velocity (Q11465)
\boldsymbol{x} = \int \boldsymbol{v} \ d\mathit{t} .,displacement (Q190291)
\boldsymbol{a} = \frac{d\boldsymbol{v}}{d\mathit{t}} .,acceleration (Q11376)
\boldsymbol{v} = \int \boldsymbol{a} \ d\mathit{t} .,velocity (Q11465)
\boldsymbol{v} = \boldsymbol{u} + \boldsymbol{a}t,velocity (Q11465)
\boldsymbol{x} = \frac{(\boldsymbol{u} + \boldsymbol{v})}{2}\mathit{t} = \boldsymbol{\bar{v}}\mathit{t},displacement (Q190291)
E_{\text{k}} = \tfrac{1}{2}mv^{2},kinetic energy (Q46276)
\boldsymbol{p}=m\boldsymbol{v},momentum (Q41273)
\gamma = \frac{1}{\sqrt{1-\frac{v^{2}}{c^{2}}}},Lorentz factor (Q599404)
"v_{\text{e}} = \sqrt{\frac{2GM}{r}} = \sqrt{2gr},",escape velocity (N/A)
\boldsymbol{v}_{A\text{ relative to }B} = \boldsymbol{v} - \boldsymbol{w},velocity (Q11465)
\boldsymbol{v}=\boldsymbol{v}_T+\boldsymbol{v}_R,velocity (Q11465)
"L=mrv_T=mr^2\omega\,",angular momentum (N/A)
p = m v.,momentum (Q41273)
"p = p_1 + p_2 \\= m_1 v_1 + m_2 v_2\,.",momentum (Q41273)
p = \sum_{i} m_i v_i .,momentum (Q41273)
p= mv_\text{cm}.,momentum (Q41273)
"\Delta p = F \Delta t\,.",Newton's second law of motion (Q2397319)
F = \frac{dp }{d t}.,Newton's second law of motion (Q2397319)
"\Delta p = J = \int_{t_1}^{t_2} F(t)\, dt\,.",Newton's second law of motion (Q2397319)
"F = \frac{d(mv)}{d t} = m\frac{dv}{d t} = m a,",Newton's second law of motion (Q2397319)
"\frac{d p_1}{d t} = - \frac{d p_2}{d t},",Newton's third law of motion (N/A)
\frac{d}{d t} \left(p_1+ p_2\right)= 0.,Newton's laws of motion (N/A)
m_1 u_{1} + m_2 u_{2} = m_1 v_{1} + m_2 v_{2}.,momentum conservation (Q2305665)
"x' = x - ut\,.",Galileian transformation (N/A)
"v' = \frac{dx'}{dt} = v-u\,.",Galilean transformation (N/A)
"a' = \frac{dv'}{dt} = a\,.",Galilean transformation (N/A)
\mathbf{p}= m \mathbf{v},momentum (Q41273)
F = m(t) \frac{dv}{dt} + v(t) \frac{dm}{dt}.,Newton's second law of motion (Q2397319)
"F = m(t) \frac{dv}{dt} - u \frac{dm}{dt},",Newton's second law of motion (Q2397319)
P(t+dt) = ( m - dm ) ( v + dv ) + dm ( v - u ) = mv+m dv - u dm = P(t) +m dv - u dm,momentum (Q41273)
t' = t  \\  x' = x - v t,Galilean transformation (N/A)
"t' = \gamma \left( t - \frac{v x}{c^2} \right)  \\  x' = \gamma \left( x - v t \right)\,",Lorentz transformation (Q217255)
"\mathbf{p} = \gamma m_0 \mathbf{v}\,,",momentum (Q41273)
"\mathbf{F} = \frac{d \mathbf{p}}{dt}\,.",Newton's second law of motion (Q2397319)
"\mathbf{U} \equiv \frac{d \mathbf{R}}{d \tau} = \gamma \frac{d \mathbf{R}}{dt}\,,",four-velocity (N/A)
"\mathbf{P} = m_0\mathbf{U}\,,",four-momentum (Q1068463)
"\mathbf{P} = \gamma m_0 \left(c,\mathbf{v}\right) = (m c,\mathbf{p})\,.",four-momentum (Q1068463)
"\mathbf{P} = \left(\frac{E}{c}, \mathbf{p}\right)\,.",four-momentum (Q1068463)
"E = pc\,.",relativistic energy-momentum relationship (N/A)
"\mathbf{P} = \left(\frac{E}{c},\vec{\mathbf{p}}\right) = \hbar \mathbf{K} = \hbar \left(\frac{\omega}{c},\vec{\mathbf{k}}\right)",energy-momentum relationship (N/A)
\mathcal{,lagrange (N/A)
"\mathcal{L}  = T-V\,.",lagrange (N/A)
"\frac{d}{d t}\left(\frac{\partial \mathcal{L} }{\partial\dot{q}_j}\right) - \frac{\partial \mathcal{L}}{\partial q_j} = 0\,.",Euler-Lagrange equation (N/A)
"\mathcal{H}\left(\mathbf{q},\mathbf{p},t\right) = \mathbf{p}\cdot\dot{\mathbf{q}} - \mathcal{L}\left(\mathbf{q},\dot{\mathbf{q}},t\right)\,,",hamiltonian (N/A)
"\dot{q}_i = \frac{\partial\mathcal{H}}{\partial p_i}\\-\dot{p}_i = \frac{\partial\mathcal{H}}{\partial q_i}\\-\frac{\partial \mathcal{L}}{\partial t} = \frac{d \mathcal{H}}{d t}\,.",momentum (Q41273)
\mathbf{F} = q(\mathbf{E} + \mathbf{v} \times \mathbf{B}).,electromagnetic force (Q849919)
"\mathbf{P} = m\mathbf{\mathbf{v}} + q\mathbf{A},",momentum of electron (N/A)
\mathbf{P} = \gamma m\mathbf{\mathbf{v}} + q\mathbf{A}.,momentum of electron (N/A)
"\mathbf{g} = \frac{1}{\mu_0 c^2}\mathbf{E}\times\mathbf{B}\,,",momentum (Q41273)
F_c = ma_c = \frac{m v^2}{r},centripetal force (Q172881)
a_c = \frac{v}{t}\hat{r} = \frac{r\omega}{t}\hat{r} = v\omega = \frac{v^2}{r},centripetal acceleration (Q2248131)
v = \omega r,tangential velocity (N/A)
"F_c = m r \omega^2 \,.",centripetal force (Q172881)
"\omega = \frac{2\pi}{T} \,",angular velocity (Q161635)
F_c = m r \left(\frac{2\pi}{T}\right)^2.,centripetal force (Q172881)
\gamma = \frac{1}{\sqrt{1-\frac{v^2}{c^2}}},Lorentz factor (Q599404)
F_c = \frac{\gamma m v^2}{r},centripetal force (Q172881)
F_c = \gamma m v \omega,centripetal force (Q172881)
\textbf{r} = r \cos(\theta) \hat{x} + r \sin(\theta) \hat{y}.,position (N/A)
\textbf{r} = r \cos(\omega t) \hat{x} + r \sin(\omega t) \hat{y},position (N/A)
\dot{\textbf{r}} = \textbf{v} = - r \omega \sin(\omega t) \hat{x} + r \omega \cos(\omega t) \hat{y},velocity (Q11465)
\ddot{\textbf{r}} = \textbf{a} = - r \omega^2 \cos(\omega t) \hat{x} - r \omega^2 \sin(\omega t) \hat{y},acceleration (Q11376)
\textbf{a} = - \omega^2 (r \cos(\omega t) \hat{x} + r \sin(\omega t) \hat{y}),acceleration (Q11376)
\textbf{a} = - \omega^2 \textbf{r}.,acceleration (Q11376)
"|\mathbf{\Omega}| = \frac {\mathrm{d} \theta } {\mathrm{d}t} = \omega \ ,",angular velocity (Q161635)
\mathbf{v}\ \stackrel{\mathrm{def}}{ = }\ \frac {\mathrm{d} \mathbf{r}}{\mathrm{d}t} = \frac {\mathrm{d}\mathbf{\boldsymbol{\ell}}}{\mathrm{d}t} = \mathbf {\Omega} \times \mathbf{r}(t)\ .,velocity (Q11465)
\mathbf{a}\ \stackrel{\mathrm{def}}{ = }\ \frac {\mathrm{d} \mathbf{v}} {d\mathrm{t}} = \mathbf {\Omega} \times \frac{\mathrm{d} \mathbf{r}(t)}{\mathrm{d}t} = \mathbf{\Omega} \times \left[ \mathbf {\Omega} \times \mathbf{r}(t)\right] \ .,Circular acceleration (N/A)
|\mathbf{a}| = |\mathbf{r}(t)| \left ( \frac {\mathrm{d} \theta}{\mathrm{d}t} \right) ^2 = r {\omega}^2\,acceleration (Q11376)
|\mathbf{F}_\mathrm{h}| = m |\mathbf{g}| \frac { \mathrm{sin}\ \theta}{ \mathrm {cos}\ \theta} = m|\mathbf{g}| \mathrm{tan}\ \theta \ .,force (Q11402)
|\mathbf{F}_\mathrm{c}| = m |\mathbf{a}_\mathrm{c}| = \frac{m|\mathbf{v}|^2}{r} \ .,force (Q11402)
} \mathbf{,velocity (Q11465)
\mathbf{v} = r \frac {\mathrm{d} \mathbf{u}_\mathrm{r}}{\mathrm{d}t} = r \frac {\mathrm{d}}{\mathrm{d}t} \left( \mathrm{cos}\ \theta \ \mathbf{i} + \mathrm{sin}\ \theta \ \mathbf{j}\right),velocity (Q11465)
\mathbf{a} = r \left( \frac {\mathrm{d}\omega}{\mathrm{d}t} \mathbf{u}_\mathrm{\theta} - \omega^2 \mathbf{u}_\mathrm{r} \right) \ .,acceleration (Q11376)
\mathbf{a}_{\mathrm{r}} = - \omega^{2} r \ \mathbf{u}_\mathrm{r} = - \frac{|\mathbf{v}|^{2}}{r} \ \mathbf{u}_\mathrm{r} \,acceleration (Q11376)
"\omega = {{2 \pi} \over T} = {2 \pi f} ,",angular frequency (Q834020)
2\pi r,circumference (Q843905)
\omega = v/r.,frequency (Q11652)
"a = -\omega^2 x,",acceleration (Q11376)
a = -4 \pi^2 f^2 x.,acceleration (Q11376)
"\omega = \sqrt{\frac{k}{m}},",angular frequency (Q834020)
\omega = \sqrt{\frac{1}{LC}}.,angular frequency (Q834020)
"\boldsymbol \tau = \mathbf{r}\times \mathbf{F}\,\!",torque (Q48103)
"\tau = \|\mathbf{r}\|\,\|\mathbf{F}\|\sin \theta\,\!",torque (Q48103)
"\boldsymbol{\tau} = \mathbf{r} \times \mathbf{F},",torque (Q48103)
"\tau = rF\sin\theta,\!",torque (Q48103)
"\tau = rF_{\perp},",torque (Q48103)
\boldsymbol{\tau} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t},torque (Q48103)
"\boldsymbol{\tau}_{\mathrm{net}} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \frac{\mathrm{d}(I\boldsymbol{\omega})}{\mathrm{d}t} = I\frac{\mathrm{d}\boldsymbol{\omega}}{\mathrm{d}t} + \frac{\mathrm{d}I}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + \frac{\mathrm{d}(mr^2)}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega},",torque (Q48103)
\mathbf{L} = \mathbf{r} \times \boldsymbol{p},angular momentum (N/A)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F}_{\mathrm{net}} =  \boldsymbol{\tau}_{\mathrm{net}}.,torque (Q48103)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \frac{\mathrm{d}\boldsymbol{p}}{\mathrm{d}t} + \frac{\mathrm{d}\mathbf{r}}{\mathrm{d}t} \times \boldsymbol{p}.,torque (Q48103)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F} + \mathbf{v} \times \boldsymbol{p}.,torque (Q48103)
\tau = (\text{moment arm}) (\text{force}).,force (Q11402)
\tau = (\text{distance to centre}) (\text{force}).,force (Q11402)
"W = \int_{\theta_1}^{\theta_2} \tau\ \mathrm{d}\theta,",work (Q42213)
"E_{\mathrm{r}} = \tfrac{1}{2}I\omega^2,",kinetic energy (Q46276)
"P = \boldsymbol{\tau} \cdot \boldsymbol{\omega},",power (Q25342)
P = \tau \cdot 2 \pi \cdot \nu,power (Q25342)
\text{power}  = \frac{\text{force} \cdot \text{linear distance}}{\text{time}} \\[6pt] = \frac{\left(\dfrac{\text{torque}} r \right) \cdot (r \cdot \text{angular speed} \cdot t)} t \\[6pt] = \text{torque} \cdot \text{angular speed}.,power (Q25342)
f = \frac{1}{T}.,frequency (Q11652)
\frac{\mathrm{d} \theta}{\mathrm{d} t} = \omega = 2 \mathrm{\pi} f,angular velocity (Q161635)
y(t) = \sin\left( \theta(t) \right) =  \sin(\omega t) =  \sin(2 \mathrm{\pi} f t),coordinate (N/A)
"y(t) = \sin\left( \theta(t,x) \right) = \sin(\omega t + kx)",Coordinate (N/A)
\frac{\mathrm{d} \theta}{\mathrm{d} x} = k,wavenumber (Q192510)
f = \frac{v}{\lambda}.,frequency (Q11652)
f = \frac{c}{\lambda}.,frequency (Q11652)
\displaystyle c=f\lambda,speed of light (Q2111)
"\mathbf{R} = \frac 1M \sum_{i=1}^n m_i \mathbf{r}_i,",center of mass (Q2945123)
"\mathbf R = \frac 1M \iiint\limits_{Q}\rho(\mathbf{r}) \mathbf{r} dV,",center of mass (Q2945123)
\mathbf{R} = \frac{1}{m_1+m_2}(m_1 \mathbf{r}_1 + m_2\mathbf{r}_2).,center of mass (Q2945123)
"\overline{\xi} = \frac 1M \sum_{i=1}^n m_i \xi_i,",center of mass (Q2945123)
"\overline{\zeta} = \frac 1M \sum_{i=1}^n m_i \zeta_i,",center of mass (Q2945123)
"\overline{\theta} = \mathrm{atan2}(-\overline{\zeta},-\overline{\xi}) + \pi",center of mass (Q2945123)
x_{com} = x_{max} \frac{ \overline{\theta}}{2 \pi},center of mass (Q2945123)
"\mathbf{F} = \iiint\limits_{Q} \mathbf{f}(\mathbf{r})dV =  \iiint\limits_{Q}\rho(\mathbf{r})dV( -g\vec{k}) = -Mg\vec{k},",force (Q11402)
